dataset,target,mol_id,aimnet_interaction_kcal_mol_delta,desolvation_kcal_mol_delta,local_strain_kcal_mol_delta,aimnet2_composite_kcal_mol_delta
t3,L1/P50053,54615,5.304348774278223,-0.00010446319789636505,0.0,5.304244311080332
t3,L1/P50053,64410,-6.295779430386023,2.3366767949895006e-05,0.0,-6.295756063618072
t3,L1/P50053,75542,-4.008833979750879,2.0617736428363287e-05,0.0,-4.00881336201445
t3,L1/P50053,97821,-2.2063534562301594,0.0,0.0,-2.2063534562301577
t3,L1/P50053,107700,-4.651463736569163,1.3745157618316739e-05,0.0,-4.651449991411544
t3,L1/P50053,132156,9.601186407886928,-3.298837828324963e-05,0.0,9.601153419508643
t3,L1/P50053,139579,-6.385491314722394,2.7490315233080764e-06,0.0,-6.385488565690867
t3,L1/P51532,13433,-3.954651599224828,-3.573740980655771e-05,0.0,-3.9546873366346347
t3,L1/P51532,20704,-0.007145420187569584,-44.51529013223502,0.0,-44.52243555242259
t3,L1/P51532,31548,0.8635532724056958,-1.649418913984846e-05,0.0,0.8635367782165488
t3,L1/P51532,35235,6.9030538848940495,-80.35642502118417,0.0,-73.45337113629012
t3,L1/P51532,35615,8.049694518534269,2.059799838021025,0.0,10.109494356555295
t3,L1/P51532,57296,-34.77446186116383,-21.21330448451384,0.0,-55.98776634567766
t3,L1/P51532,78268,1.6099737482183372,-2.130499430741395e-05,0.0,1.6099524432240315
t3,L1/P51532,93381,18.70576644596447,-13.427016323027516,0.0,5.278750122936962
t3,L1/P51532,130236,9.24059490685596,-1.3745157616540382e-05,0.0,9.24058116169833
t3,L1/P51532,143316,0.0016782830739696664,-2.74903152686079e-06,0.0,0.0016755340424481346
t3,L1/P56524,18572,-9.09491101416624,5.223159894818252e-05,0.0,-9.09485878256729
t3,L1/P56524,18592,18.355079365742995,-0.3795862727703927,0.0,17.975493092972606
t3,L1/P56524,18610,-2.092578946278773,-0.9293595891000876,0.0,-3.0219385353788617
t3,L1/P56524,18611,-3.243290897283231,2.7490315233080764e-06,0.0,-3.243288148251704
t3,L1/P56524,18653,12.194784248937363,-6.047869351810675e-05,0.0,12.194723770243844
t3,L1/P56524,18661,0.649370729769851,-1.5119673379970777e-05,0.0,0.649355610096471
t3,L1/P56524,18662,-3.42553313233787,2.47412837133254e-05,0.0,-3.425508391054157
t3,L1/P56524,18663,-1.8557880233381994,-1.3745157652067519e-06,0.0,-1.8557893978539601
t3,L1/P56524,25733,7.490497179687449,4.810805166144405e-05,0.0,7.490545287739111
t3,L1/P56524,46247,6.462848016142681,-4.3984504378258293e-05,0.0,6.462804031638301
t3,L1/P62937,19634,97.33199088450512,-0.44944191281505397,0.0,96.88254897169006
t3,L1/P62937,58673,8.4067277385312,-4.617561995247591,0.0,3.789165743283604
t3,L1/P62937,69521,-50.36103866007039,17.406150109827006,0.0,-32.954888550243396
t3,L1/Q06124,1874,-7.687623016046198,-3.6096639500357277,0.0,-11.29728696608192
